Agency,County,Description,Image,Name,Price
Keller Williams Southern Az,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,6468 N Cholla Lane,"$800,000"
Homesmart,Casa Grande,"Casa Grande, AZ 85122",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8025 N Jefferson Avenue,"$780,000"
Elite Real Estate Pros,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,10327 W Ironwood Drive,"$779,000"
Exp Realty,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8660 N Calle Vistoso,"$775,000"
My Home Group Real Estate,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,001 N Bowman  B2 Road,"$1,500,000"
My Home Group Real Estate,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,001 N Bowman  B3 Road,"$1,300,000"
RE/MAX Excalibur,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,767 N Sun Road,"$1,250,000"
My Home Group Real Estate,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,001 N Bowman   B1 Road,"$1,200,000"
Keith Jackson Realty,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,661 N Al Sieber Road,"$1,100,000"
Keller Williams Northeast Realty,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3498 N Morningside Road,"$1,100,000"
"Home Centric Real Estate, Llc",Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1559 E Whiteley Street,"$1,100,000"
Service First Realty Llc,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,6494 E Javalina Court,"$1,100,000"
RE/MAX Excalibur,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,682 N Sun Road,"$1,099,000"
RE/MAX Excalibur,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,722 N Sun Road,"$999,000"
Exp Realty,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,531 N Sun Road,"$970,000"
Better Homes & Gardens Real Estate Sj Fowler,Apache Junction,"Apache Junction, AZ 85119",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,5465 N Winchester Road,"$929,000"
Capital West Homes Realty Llc,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4507 S 119th Drive,"$909,023"
Capital West Homes Realty Llc,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11948 W Luxton Lane,"$870,370"
Hague Partners,Avondale,"Avondale, AZ 85392",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,10347 W Mulberry Drive,"$850,000"
West Usa Realty,Avondale,"Avondale, AZ 85392",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,10327 W Catalina Drive,"$800,000"
David Weekley Homes,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11707 W Marguerite Avenue,"$799,999"
Capital West Homes Realty Llc,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11944 W Luxton Lane,"$751,852"
Capital West Homes Realty Llc,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4505 S 116th Lane,"$730,284"
Delex Realty,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3618 S 124th Avenue,"$715,000"
Capital West Homes Realty Llc,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11941 W Luxton Lane,"$702,345"
David Weekley Homes,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11713 W Parkway Lane,"$684,999"
West Usa Realty,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11674 W Marguerite Avenue,"$669,000"
Richmond American Homes,Avondale,"Avondale, AZ 85323",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,410 S 111th Avenue,"$663,995"
Realty Executives,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,6901 E Restin Road,"$5,400,000"
Realty Executives,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,36631 N Peaceful Place,"$4,535,000"
Russ Lyon Sotheby's International Realty,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,7686 E Stagecoach Pass Road,"$3,950,000"
Realty Executives,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,7021 E Stagecoach Pass Road,"$3,500,000"
Realty Executives,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,35227 N Ridgeway Drive,"$2,995,000"
Berkshire Hathaway Homeservices Arizona Properties,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,34815 N Arroyo Road,"$2,975,000"
Russ Lyon Sotheby's International Realty,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,37yy N Never Mind Lot 2 Trail #2,"$2,900,000"
Russ Lyon Sotheby's International Realty,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,6508 E El Sendero Road,"$2,400,000"
My Home Group Real Estate,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8402 E Carefree Drive,"$2,395,000"
Realty Executives,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,38211 N Sombrero Road,"$2,300,000"
Realty Executives,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,36430 N Up And Down Place,"$2,195,000"
Platinum Living Realty,Carefree,"Carefree, AZ 85377",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,7722 E Stagecoach Pass Road,"$1,999,950"
Real Estate At The Firm,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2213 W Twain Drive,"$1,599,900"
Realty Executives,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,42514 N Cross Timbers Court,"$1,399,000"
Realty One Group,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3064 W Sousa Court,"$1,195,000"
Realty One Group,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,40523 N Lytham Court,"$1,130,000"
RE/MAX Professionals,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2240 W Legends Way,"$1,099,000"
Exp Realty,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,42112 N Bradon Way,"$1,049,000"
Realty Executives,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,41807 N Anthem Ridge Drive,"$925,000"
Prickett Realty,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2359 W Clearview Trail,"$900,000"
United Brokers Group,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2315 W River Rock Court,"$898,000"
West Usa Realty,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2716 W Adventure Drive,"$849,900"
Exp Realty,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2215 W Hazelhurst Court,"$849,900"
Hague Partners,Anthem,"Anthem, AZ 85086",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2347 W Hazelhurst Drive,"$840,000"
Russ Lyon Sotheby's International Realty,Ahwatukee,"Phoenix, AZ 85044",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4220 E Zia Street,"$439,000"
Keller Williams Realty East Valley,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2649 E Verbena Drive,"$675,000"
Redfin Corporation,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,16639 S 25th Place,"$777,000"
West Usa Realty,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3830 E Lakewood Parkway #1077,"$310,000"
Exp Realty,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,14210 S 5th Street,"$1,350,000"
West Usa Realty,Ahwatukee,"Phoenix, AZ 85044",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4032 E Sacaton Street,"$459,900"
Hague Partners,Ahwatukee,"Phoenix, AZ 85044",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4870 E Paseo Way,"$550,000"
Realty Executives,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2488 E Glenhaven Drive,"$773,900"
West Usa Realty,Ahwatukee,"Phoenix, AZ 85045",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,16633 S 16th Drive,"$515,000"
Keller Williams Realty Sonoran Living,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,16013 S Desert Foothills Parkway #2121,"$289,900"
